,State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
103,Goa,Quepem,35.0,54.0,,,,23.0,89.0,26.0,58.0,Satisfactory
81,Gujarat,Killa-pardi,24.0,26.0,1.0,27.0,1500.0,11.0,93.0,26.0,75.0,Satisfactory
208,Kerala,Kanhangad,26.0,42.0,,,,25.0,86.0,26.0,42.0,Good
362,India,Kailashahar,24.0,33.0,1.0,10.0,115.0,5.0,90.0,27.0,40.0,Good
378,Uttar Pradesh,Dewa,32.0,60.0,22.0,10.0,140.0,23.0,66.0,30.0,60.0,Satisfactory
210,Kerala,Muzhappilangad,33.0,70.0,26.0,2.0,120.0,24.0,85.0,26.0,70.0,Satisfactory
291,Puducherry,Puducherry,19.0,57.0,11.0,8.0,780.0,19.0,57.0,29.0,57.0,Satisfactory
383,Uttarakhand,Kotdwar,50.0,80.0,15.0,10.0,889.0,6.0,75.0,30.0,83.0,Satisfactory
167,Tripura,Kamalpur,33.0,46.0,2.0,17.0,124.0,5.0,87.0,28.0,54.0,Satisfactory
89,Gujarat,Dharampur,33.0,52.0,9.0,24.0,1781.0,9.0,97.0,25.0,232.0,Poor
193,Koshi,Jogbani,46.0,70.0,22.0,12.0,579.0,22.0,76.0,29.0,76.0,Satisfactory
163,Tripura,Dharmanagar,24.0,33.0,1.0,10.0,115.0,5.0,90.0,27.0,40.0,Good
147,Jharkhand,Ray,42.0,60.0,,,,19.0,90.0,26.0,70.0,Satisfactory
354,Tripura,Kamalpur,33.0,46.0,2.0,17.0,124.0,5.0,87.0,28.0,54.0,Satisfactory
92,Delhi,Delhi,39.0,76.0,17.0,7.0,897.0,9.0,89.0,30.0,76.0,Satisfactory
69,Dadra and Nagar Haveli,Amli,24.0,26.0,1.0,27.0,1500.0,8.0,95.0,25.0,75.0,Satisfactory
123,Gujarat,Sayla,29.0,49.0,38.0,13.0,658.0,21.0,89.0,27.0,49.0,Good
96,Delhi,New Delhi,36.0,94.0,41.0,5.0,649.0,13.0,89.0,30.0,94.0,Satisfactory
143,Himachal Pradesh,Narkand,26.0,86.0,48.0,10.0,460.0,1.0,88.0,14.0,86.0,Satisfactory
305,India,Nagri-Parole,89.0,133.0,53.0,8.0,561.0,12.0,89.0,26.0,194.0,Moderate
97,Haryana,Ferozpur Bangar,46.0,85.0,8.0,2.0,720.0,18.0,52.0,30.0,85.0,Satisfactory
232,Manipur,Purnaheitupokpi,7.0,10.0,,,,3.0,82.0,25.0,11.0,Good
68,Chhattisgarh,Patan,39.0,56.0,8.0,6.0,389.0,5.0,88.0,26.0,65.0,Satisfactory
23,Assam,Silapathar,23.0,35.0,7.0,12.0,277.0,2.0,66.0,28.0,38.0,Good
37,Bihar,Hisua,7.0,62.0,11.0,5.0,340.0,24.0,71.0,29.0,62.0,Satisfactory
144,Jharkhand,Kanke,42.0,60.0,,,,19.0,100.0,25.0,70.0,Satisfactory
122,Gujarat,Wankaner,29.0,47.0,,,,20.0,89.0,27.0,48.0,Good
202,Lakshadweep,Kavaratti,21.0,36.0,,,,35.0,81.0,28.0,36.0,Good
182,Karnataka,Annigeri,4.0,10.0,3.0,36.0,520.0,32.0,89.0,22.0,45.0,Good
67,Gujarat,Vapi,24.0,26.0,1.0,27.0,1500.0,12.0,93.0,26.0,75.0,Satisfactory
397,West Bengal,Memari,29.0,49.0,23.0,8.0,418.0,17.0,84.0,28.0,49.0,Good
350,Telangana,Karimnagar,42.0,65.0,17.0,7.0,309.0,22.0,90.0,24.0,69.0,Satisfactory
327,West Bengal,Mirik,29.0,45.0,22.0,13.0,753.0,6.0,79.0,20.0,49.0,Good
361,Tripura,Udaipur,36.0,51.0,,,,5.0,82.0,29.0,59.0,Satisfactory
228,Maharashtra,Jalna,31.0,46.0,25.0,56.0,1088.0,31.0,96.0,23.0,69.0,Satisfactory
125,Haryana,Tosham,24.0,69.0,15.0,8.0,1100.0,22.0,49.0,33.0,69.0,Satisfactory
146,Jharkhand,Barkakana,42.0,60.0,,,,18.0,94.0,27.0,70.0,Satisfactory
237,Manipur,Moirang,16.0,20.0,,7.0,166.0,5.0,81.0,26.0,27.0,Good
86,Gujarat,Bilimora,51.0,83.0,,,,11.0,94.0,26.0,84.0,Satisfactory
338,Tamil Nadu,Tiruchirappalli,25.0,45.0,26.0,8.0,564.0,22.0,58.0,29.0,45.0,Good
321,Rajasthan,Basni,31.0,47.0,24.0,14.0,811.0,7.0,65.0,31.0,52.0,Satisfactory
346,Tamil Nadu,Erumapatti,26.0,45.0,22.0,7.0,616.0,19.0,67.0,27.0,45.0,Good
203,Kerala,Nileshwar,26.0,42.0,,,,25.0,87.0,26.0,42.0,Good
261,Assam,Gajia,22.0,32.0,1.0,1.0,77.0,2.0,79.0,29.0,36.0,Good
304,Punjab,Kapurthala,14.0,37.0,24.0,2.0,200.0,7.0,87.0,28.0,37.0,Good
183,Kerala,Mannarkkad,26.0,48.0,12.0,1.0,676.0,15.0,88.0,23.0,48.0,Good
342,Tamil Nadu,Veeraganur,26.0,45.0,22.0,7.0,616.0,13.0,64.0,27.0,45.0,Good
285,Odisha,Banki,57.0,83.0,6.0,7.0,134.0,12.0,81.0,28.0,95.0,Satisfactory
302,Punjab,Shahkot,96.0,141.0,,5.0,240.0,6.0,78.0,28.0,218.0,Poor
284,Odisha,Dhenkanal,57.0,83.0,6.0,7.0,134.0,12.0,80.0,28.0,95.0,Satisfactory
129,Haryana,Julana,49.0,66.0,58.0,4.0,1080.0,19.0,56.0,33.0,82.0,Satisfactory
38,Bihar,Silao,7.0,62.0,11.0,5.0,340.0,25.0,71.0,30.0,62.0,Satisfactory
11,Andhra Pradesh,Narasaraopeta,36.0,55.0,22.0,10.0,321.0,19.0,68.0,28.0,60.0,Satisfactory
272,Assam,Handique Gaon,17.0,27.0,6.0,13.0,226.0,6.0,96.0,26.0,28.0,Good
185,Kerala,Chelakkara,30.0,56.0,41.0,4.0,740.0,15.0,88.0,23.0,56.0,Satisfactory
238,Meghalaya,Nongstoin,24.0,34.0,,,,1.0,79.0,23.0,40.0,Good
112,Goa,Bandoda,38.0,61.0,,,,24.0,89.0,25.0,63.0,Satisfactory
179,Kerala,Ottapalam,26.0,48.0,12.0,1.0,676.0,16.0,86.0,23.0,48.0,Good
271,Nagaland,Longleng,17.0,27.0,6.0,13.0,226.0,3.0,88.0,21.0,28.0,Good
262,Meghalaya,Khliehriāt,23.0,33.0,,5.0,61.0,2.0,84.0,23.0,38.0,Good
117,Gujarat,Thangadh,29.0,49.0,38.0,13.0,658.0,21.0,90.0,27.0,49.0,Good
371,Uttar Pradesh,Barabanki,23.0,43.0,20.0,10.0,60.0,23.0,65.0,30.0,43.0,Good
318,Rajasthan,Kuchaman City,34.0,49.0,23.0,13.0,832.0,3.0,54.0,32.0,56.0,Satisfactory
387,Uttarakhand,Devprayag,50.0,84.0,31.0,8.0,473.0,2.0,79.0,26.0,84.0,Satisfactory
289,Odisha,Bhuban,57.0,83.0,6.0,7.0,134.0,14.0,80.0,29.0,95.0,Satisfactory
365,Tripura,Dharmanagar,24.0,33.0,1.0,10.0,115.0,5.0,90.0,27.0,40.0,Good
164,Assam,Lakhipur,16.0,20.0,,7.0,166.0,4.0,89.0,28.0,27.0,Good
255,Manipur,Chandel,7.0,10.0,,,,4.0,80.0,25.0,11.0,Good
136,Himachal Pradesh,Arki,18.0,35.0,48.0,12.0,300.0,,94.0,24.0,48.0,Good
154,Jharkhand,Kuju,42.0,60.0,,,,17.0,93.0,25.0,70.0,Satisfactory
199,Sikkim,Geyzing,21.0,34.0,10.0,5.0,231.0,3.0,79.0,21.0,34.0,Good
197,West Bengal,Satbhaiya,13.0,35.0,24.0,5.0,320.0,10.0,79.0,28.0,35.0,Good
395,West Medinipur,Ghatal,58.0,83.0,3.0,3.0,103.0,9.0,95.0,26.0,97.0,Satisfactory
2,Andhra Pradesh,Darsi,35.0,53.0,24.0,8.0,308.0,26.0,69.0,28.0,58.0,Satisfactory
204,Kerala,Vatakara,26.0,44.0,,,,23.0,86.0,26.0,44.0,Good
115,Gujarat,Rajkot,29.0,47.0,,,,11.0,94.0,27.0,48.0,Good
268,Mizoram,Aizawl,,17.0,,1.0,240.0,2.0,92.0,22.0,17.0,Good
239,Assam,Palasbari,46.0,67.0,24.0,11.0,640.0,4.0,94.0,29.0,77.0,Satisfactory
26,Assam,Garmari,21.0,35.0,7.0,12.0,239.0,3.0,84.0,28.0,35.0,Good
120,Gujarat,Vinchhiya,29.0,49.0,38.0,13.0,658.0,21.0,92.0,26.0,49.0,Good
384,Uttarakhand,Lansdowne,50.0,80.0,15.0,10.0,889.0,3.0,77.0,21.0,83.0,Satisfactory
224,Maharashtra,Georai,31.0,46.0,25.0,56.0,1088.0,26.0,91.0,23.0,69.0,Satisfactory
245,Maharashtra,Ambad,31.0,46.0,25.0,56.0,1088.0,30.0,96.0,22.0,69.0,Satisfactory
329,Sikkim,Geyzing,21.0,34.0,10.0,5.0,231.0,3.0,79.0,21.0,34.0,Good
317,Rajasthan,Mundwa,31.0,47.0,24.0,14.0,811.0,6.0,64.0,31.0,52.0,Satisfactory
401,West Bengal,Talchinan-Sanihati,21.0,41.0,27.0,9.0,965.0,14.0,84.0,28.0,49.0,Good
127,Haryana,Kalanaur,56.0,69.0,39.0,8.0,520.0,18.0,51.0,33.0,94.0,Satisfactory
74,Gujarat,Killa-pardi,24.0,26.0,1.0,27.0,1500.0,11.0,93.0,26.0,75.0,Satisfactory
324,Rajasthan,Ajmer,66.0,90.0,25.0,10.0,1040.0,8.0,66.0,30.0,120.0,Moderate
29,Assam,Hatimuria,21.0,35.0,7.0,12.0,239.0,4.0,81.0,29.0,35.0,Good
83,Gujarat,Valsad,24.0,26.0,1.0,27.0,1500.0,12.0,93.0,26.0,75.0,Satisfactory
332,West Bengal,Kalimpong,21.0,34.0,10.0,5.0,231.0,1.0,80.0,24.0,34.0,Good
107,South Goa,Davorlim,38.0,61.0,,,,25.0,88.0,26.0,63.0,Satisfactory
316,Rajasthan,Makrana,34.0,49.0,23.0,13.0,832.0,4.0,57.0,32.0,56.0,Satisfactory
298,Tamil Nadu,Viluppuram,28.0,49.0,20.0,7.0,563.0,22.0,53.0,29.0,49.0,Good
133,Hisar,Hisar,50.0,64.0,,,,16.0,56.0,32.0,82.0,Satisfactory
244,Meghalaya,Resubelpara,32.0,46.0,,,,3.0,83.0,29.0,53.0,Satisfactory
184,Karnataka,Shirahatti,4.0,10.0,3.0,36.0,520.0,33.0,89.0,22.0,45.0,Good
292,Tamil Nadu,Bommayapalayam,19.0,57.0,11.0,8.0,780.0,20.0,58.0,29.0,57.0,Satisfactory
44,Bihar,Chistipur,18.0,38.0,3.0,8.0,600.0,26.0,67.0,30.0,38.0,Good
370,Uttar Pradesh,Mohan,34.0,86.0,6.0,1.0,780.0,23.0,62.0,30.0,86.0,Satisfactory
65,Chhattisgarh,Lahraud,45.0,64.0,7.0,6.0,391.0,2.0,85.0,26.0,74.0,Satisfactory
85,Gujarat,Chikhli,33.0,52.0,9.0,24.0,1781.0,11.0,95.0,25.0,232.0,Poor
242,Meghalaya,Shillong,4.0,,1.0,16.0,80.0,3.0,77.0,23.0,20.0,Good
186,Kerala,Guruvayur,30.0,56.0,41.0,4.0,740.0,24.0,85.0,26.0,56.0,Satisfactory
159,Assam,Uttar Kanchanpur Pt I,24.0,33.0,1.0,10.0,115.0,5.0,87.0,28.0,40.0,Good
12,India,Namsai,21.0,32.0,6.0,12.0,274.0,2.0,71.0,30.0,35.0,Good
35,Assam,No.1 Barjuli T.E.,21.0,35.0,7.0,12.0,239.0,6.0,78.0,29.0,35.0,Good
28,Assam,Tezpur,21.0,35.0,7.0,12.0,239.0,4.0,87.0,28.0,35.0,Good
170,Karnataka,Mulgund,4.0,10.0,3.0,36.0,520.0,33.0,90.0,22.0,45.0,Good
142,Himachal Pradesh,Theog,26.0,86.0,48.0,10.0,460.0,3.0,87.0,18.0,86.0,Satisfactory
320,Rajasthan,Didwana,34.0,49.0,23.0,13.0,832.0,4.0,56.0,32.0,56.0,Satisfactory
274,Assam,Kumarpatty,24.0,39.0,12.0,14.0,367.0,6.0,97.0,25.0,40.0,Good
221,Madhya Pradesh,Dungariya,41.0,62.0,23.0,20.0,724.0,14.0,77.0,28.0,68.0,Satisfactory
95,Delhi,Gurugram,68.0,99.0,33.0,9.0,615.0,9.0,89.0,30.0,127.0,Moderate
51,Punjab,Banur,9.0,16.0,52.0,2.0,700.0,19.0,68.0,30.0,52.0,Satisfactory
240,Assam,Saualkuchi,46.0,67.0,24.0,11.0,640.0,4.0,94.0,29.0,77.0,Satisfactory
311,Punjab,Makhdoom Pura,14.0,37.0,24.0,2.0,200.0,6.0,89.0,28.0,37.0,Good
388,Uttarakhand,Dhandri Talli,50.0,84.0,31.0,8.0,473.0,3.0,81.0,23.0,84.0,Satisfactory
178,Karnataka,Naregal,4.0,10.0,3.0,36.0,520.0,37.0,88.0,22.0,45.0,Good
41,Bihar,Jahanabad,19.0,31.0,12.0,13.0,379.0,26.0,66.0,30.0,32.0,Good
312,Punjab,Sultanpur Lodhi,96.0,141.0,,5.0,240.0,7.0,81.0,28.0,218.0,Poor
206,Kerala,Swamikunnu,33.0,70.0,26.0,2.0,120.0,24.0,85.0,26.0,70.0,Satisfactory
254,Manipur,Yambem,7.0,10.0,,,,3.0,85.0,25.0,11.0,Good
333,Sikkim,Majhitar,21.0,34.0,10.0,5.0,231.0,2.0,80.0,29.0,34.0,Good
4,Andhra Pradesh,Pedda Nakkala Palem,37.0,58.0,23.0,8.0,306.0,23.0,67.0,29.0,61.0,Satisfactory
256,Mizoram,Lunglei,31.0,45.0,,,,2.0,86.0,22.0,51.0,Satisfactory
360,Mizoram,Sairang,,17.0,,1.0,240.0,2.0,91.0,28.0,17.0,Good
100,Haryana,Khewra,38.0,60.0,62.0,5.0,160.0,18.0,62.0,30.0,64.0,Satisfactory
226,Maharashtra,Deulgaon Raja,33.0,49.0,25.0,48.0,1102.0,24.0,96.0,22.0,60.0,Satisfactory
382,Uttarakhand,Dugadda,50.0,80.0,15.0,10.0,889.0,4.0,76.0,27.0,83.0,Satisfactory
213,Madhya Pradesh,Gadarwara,36.0,53.0,20.0,24.0,723.0,13.0,79.0,28.0,60.0,Satisfactory
171,Karnataka,Huvina Hadagali,22.0,34.0,32.0,17.0,612.0,30.0,87.0,23.0,36.0,Good
98,Uttar Pradesh,Loni Dehat,46.0,93.0,44.0,6.0,1320.0,20.0,55.0,30.0,93.0,Satisfactory
215,Madhya Pradesh,Begumganj,41.0,62.0,23.0,20.0,724.0,15.0,74.0,28.0,68.0,Satisfactory
61,Chhattisgarh,Raipur,39.0,56.0,8.0,6.0,389.0,11.0,100.0,26.0,65.0,Satisfactory
47,Punjab,Kharar,9.0,16.0,52.0,2.0,700.0,14.0,68.0,30.0,52.0,Satisfactory
32,Assam,Rajagaon,21.0,35.0,7.0,12.0,239.0,1.0,81.0,29.0,35.0,Good
267,Mizoram,Sairang,,17.0,,1.0,240.0,2.0,91.0,28.0,17.0,Good
200,Bihar,Bhag Kohalia,1.0,14.0,24.0,19.0,920.0,21.0,76.0,29.0,46.0,Good
358,Tripura,Amarpur,36.0,51.0,,,,3.0,82.0,28.0,59.0,Satisfactory
27,Assam,Dhing Town,21.0,35.0,7.0,12.0,239.0,5.0,81.0,29.0,35.0,Good
314,Rajasthan,Merta,34.0,52.0,18.0,9.0,612.0,9.0,66.0,30.0,57.0,Satisfactory
230,India,Jiribam,16.0,20.0,,7.0,166.0,2.0,86.0,28.0,27.0,Good
260,Assam,Guwahati,35.0,59.0,21.0,23.0,624.0,4.0,94.0,29.0,59.0,Satisfactory
288,Odisha,Talcher Town,13.0,14.0,11.0,12.0,500.0,12.0,81.0,28.0,40.0,Good
162,Assam,Silchar,24.0,33.0,1.0,10.0,115.0,5.0,88.0,28.0,40.0,Good
341,Tamil Nadu,Pullambadi,25.0,45.0,26.0,8.0,564.0,31.0,56.0,29.0,45.0,Good
138,Himachal Pradesh,Kasauli,18.0,35.0,48.0,12.0,300.0,6.0,79.0,20.0,48.0,Good
62,Chhattisgarh,Arang,39.0,56.0,8.0,6.0,389.0,5.0,88.0,26.0,65.0,Satisfactory
135,Himachal Pradesh,Shimla,26.0,86.0,48.0,10.0,460.0,,94.0,18.0,86.0,Satisfactory
128,Hisar,Narnaund,49.0,66.0,58.0,4.0,1080.0,14.0,63.0,31.0,82.0,Satisfactory
8,Andhra Pradesh,Addanki,35.0,53.0,24.0,8.0,308.0,24.0,68.0,28.0,58.0,Satisfactory
64,Chhattisgarh,Bemetra,39.0,56.0,8.0,6.0,389.0,12.0,81.0,27.0,65.0,Satisfactory
300,Tamil Nadu,Tindivanam,28.0,47.0,21.0,6.0,617.0,28.0,52.0,30.0,47.0,Good
14,Assam,North Lakhimpur,23.0,35.0,7.0,12.0,277.0,4.0,89.0,28.0,38.0,Good
156,India,Karimganj,24.0,33.0,1.0,10.0,115.0,5.0,87.0,28.0,40.0,Good
40,Bihar,Islampur,7.0,62.0,11.0,5.0,340.0,26.0,69.0,30.0,62.0,Satisfactory
369,Mizoram,Mamit,26.0,37.0,,,,2.0,90.0,23.0,42.0,Good
325,Sikkim,Gangtok,1.0,,14.0,41.0,120.0,1.0,85.0,22.0,52.0,Satisfactory
216,Madhya Pradesh,Udaipura,41.0,62.0,23.0,20.0,724.0,15.0,77.0,28.0,68.0,Satisfactory
279,Assam,Amguri,17.0,27.0,6.0,13.0,226.0,5.0,90.0,27.0,28.0,Good
347,Telangana,Sircilla,40.0,54.0,19.0,10.0,527.0,25.0,91.0,24.0,66.0,Satisfactory
236,Manipur,Tengnoupal,7.0,10.0,,,,4.0,84.0,21.0,11.0,Good
207,Puducherry,Mahé,33.0,70.0,26.0,2.0,120.0,22.0,86.0,26.0,70.0,Satisfactory
212,Kerala,Azhikkal,33.0,70.0,26.0,2.0,120.0,25.0,86.0,26.0,70.0,Satisfactory
295,Tamil Nadu,Marakkanam,28.0,47.0,21.0,6.0,617.0,28.0,57.0,30.0,47.0,Good
367,Telangana,Siddipet,40.0,54.0,19.0,10.0,527.0,27.0,90.0,23.0,66.0,Satisfactory
251,Maharashtra,Kesapuri Tanda,9.0,24.0,34.0,7.0,740.0,35.0,97.0,22.0,37.0,Good
393,West Bengal,Shrirampur,21.0,41.0,27.0,9.0,965.0,11.0,87.0,28.0,49.0,Good
368,Telangana,Jangaon,41.0,68.0,23.0,7.0,183.0,24.0,87.0,24.0,68.0,Satisfactory
303,Punjab,Nakodar,14.0,37.0,24.0,2.0,200.0,8.0,82.0,28.0,37.0,Good
269,Nagaland,Wokha,17.0,27.0,6.0,13.0,226.0,2.0,96.0,19.0,28.0,Good
201,Bihar,Sitapur,46.0,70.0,22.0,12.0,579.0,23.0,74.0,29.0,76.0,Satisfactory
161,Mizoram,Saitlaw,26.0,37.0,,,,2.0,90.0,23.0,42.0,Good
43,Bihar,Masaurhi,18.0,38.0,3.0,8.0,600.0,26.0,67.0,30.0,38.0,Good
217,Madhya Pradesh,Pachmarhi,36.0,53.0,20.0,24.0,723.0,6.0,86.0,23.0,60.0,Satisfactory
190,Kerala,Manjeri,28.0,48.0,31.0,4.0,630.0,6.0,94.0,23.0,48.0,Good
309,Punjab,Makhu,112.0,162.0,,,,3.0,74.0,29.0,272.0,Poor
259,Meghalaya,Mairang,4.0,,1.0,16.0,80.0,3.0,80.0,21.0,20.0,Good
105,Goa,Vodlemol Cacora,35.0,54.0,,,,21.0,90.0,25.0,58.0,Satisfactory
53,Haryana,Orian,18.0,35.0,48.0,12.0,300.0,7.0,77.0,27.0,48.0,Good
1,Andhra Pradesh,Vinukonda,36.0,53.0,27.0,14.0,451.0,22.0,68.0,28.0,59.0,Satisfactory
49,Punjab,Sahibzada Ajit Singh Nagar,9.0,16.0,52.0,2.0,700.0,14.0,67.0,30.0,52.0,Satisfactory
80,Gujarat,Vapi,24.0,26.0,1.0,27.0,1500.0,12.0,93.0,26.0,75.0,Satisfactory
205,Kerala,Payyanur,26.0,42.0,,,,24.0,86.0,26.0,42.0,Good
34,Assam,Garehagi,24.0,39.0,12.0,14.0,367.0,4.0,90.0,27.0,40.0,Good
263,Mizoram,North Vanlaiphai,13.0,16.0,,1.0,210.0,2.0,83.0,22.0,21.0,Good
91,Haryana,Sankhol,26.0,68.0,33.0,10.0,560.0,19.0,48.0,30.0,68.0,Satisfactory
339,Tamil Nadu,Musiri,25.0,45.0,26.0,8.0,564.0,31.0,59.0,29.0,45.0,Good
52,Himachal Pradesh,Baddi,18.0,35.0,48.0,12.0,300.0,6.0,76.0,29.0,48.0,Good
345,Tamil Nadu,Thirukkattupalli,25.0,45.0,26.0,8.0,564.0,32.0,54.0,29.0,45.0,Good
264,Mizoram,Mamit,26.0,37.0,,,,2.0,90.0,23.0,42.0,Good
241,Assam,Khetri Hardia,18.0,46.0,16.0,39.0,600.0,4.0,94.0,29.0,49.0,Good
13,Assam,Bordubi No.1,21.0,32.0,6.0,12.0,274.0,2.0,82.0,28.0,35.0,Good
315,Rajasthan,Parbatsar,34.0,52.0,18.0,9.0,612.0,5.0,58.0,31.0,57.0,Satisfactory
88,Dadra and Nagar Haveli,Silvassa,24.0,26.0,1.0,27.0,1500.0,8.0,95.0,25.0,75.0,Satisfactory
273,Assam,Jorhat,17.0,27.0,6.0,13.0,226.0,8.0,95.0,26.0,28.0,Good
166,Jharkhand,Lohardaga,39.0,56.0,7.0,6.0,293.0,19.0,87.0,25.0,65.0,Satisfactory
328,Sikkim,Singtam,1.0,,14.0,41.0,120.0,,84.0,28.0,52.0,Satisfactory
396,West Bengal,Arambag,58.0,83.0,3.0,3.0,103.0,13.0,93.0,27.0,97.0,Satisfactory
134,Hisar,Gangwa,14.0,18.0,,,,22.0,50.0,34.0,24.0,Good
306,Punjab,Nurmahal,14.0,37.0,24.0,2.0,200.0,8.0,81.0,28.0,37.0,Good
386,Uttarakhand,Rudraprayag,50.0,84.0,31.0,8.0,473.0,3.0,87.0,27.0,84.0,Satisfactory
319,Rajasthan,Nagaur,31.0,47.0,24.0,14.0,811.0,7.0,64.0,32.0,52.0,Satisfactory
243,Assam,Goalpara,27.0,39.0,2.0,1.0,106.0,2.0,79.0,29.0,45.0,Good
54,Haryana,Panchkula,1.0,13.0,81.0,2.0,920.0,12.0,71.0,30.0,81.0,Satisfactory
363,India,Kailashahar,24.0,33.0,1.0,10.0,115.0,5.0,90.0,27.0,40.0,Good
50,Himachal Pradesh,Parwanoo,18.0,35.0,48.0,12.0,300.0,7.0,78.0,26.0,48.0,Good
174,Karnataka,Laxmeshwar,22.0,34.0,32.0,17.0,612.0,31.0,90.0,22.0,36.0,Good
189,Kerala,Thrissur,30.0,56.0,41.0,4.0,740.0,14.0,89.0,25.0,56.0,Satisfactory
400,West Bengal,Patrasayer,53.0,76.0,2.0,1.0,89.0,8.0,91.0,27.0,89.0,Satisfactory
187,Kerala,Kunnamkulam,30.0,56.0,41.0,4.0,740.0,21.0,86.0,26.0,56.0,Satisfactory
169,Karnataka,Yelburga,25.0,37.0,33.0,16.0,525.0,36.0,88.0,22.0,41.0,Good
58,Chhattisgarh,Charoda,39.0,56.0,8.0,6.0,389.0,5.0,86.0,26.0,65.0,Satisfactory
48,Himachal Pradesh,Kasauli,18.0,35.0,48.0,12.0,300.0,6.0,79.0,20.0,48.0,Good
344,Tamil Nadu,Mettupalayam,26.0,45.0,22.0,7.0,616.0,19.0,68.0,27.0,45.0,Good
235,Manipur,Thoubal,16.0,20.0,,7.0,166.0,2.0,82.0,25.0,27.0,Good
252,Maharashtra,Wadgaon Kolhati,9.0,24.0,34.0,7.0,740.0,33.0,96.0,22.0,37.0,Good
21,Assam,Makum,21.0,32.0,6.0,12.0,274.0,3.0,84.0,28.0,35.0,Good
